tmdb_id,imdb_id,title,original_title,release_date,year,original_language,runtime,genres,budget,revenue,popularity,tmdb_vote_average,tmdb_vote_count,production_companies
1024530,tt17196124,Grimcutty,Grimcutty,2022-10-10,2022,en,101,Horror,0,0,3.7158,5.118,404,20th Digital Studio
962232,tt16027944,Beyond the Universe,Depois do Universo,2022-10-26,2022,pt,126,Romance | Drama | Music,0,0,3.5059,7.99,337,Camisa Listrada
760741,tt13223398,Beast,Beast,2022-08-11,2022,en,92,Thriller | Action | Horror | Adventure,0,5.6e+07,3.4793,6.542,1676,RVK Studios | Will Packer Productions | Universal Pictures | dentsu
884971,tt13399946,Goliath,Goliath,2022-03-09,2022,fr,121,Thriller | Drama,0,0,3.741,6.823,392,GapBusters | A Single Man Productions
698128,tt9005184,Dual,Dual,2022-03-18,2022,en,95,Science Fiction | Comedy | Drama,4500000,0,3.6941,5.968,360,XYZ Films | IPR.VC | Resolute Films and Entertainment | BondIt Media Capital | Head Gear Films | Metrol Technology
648579,tt11291274,The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,2022-04-20,2022,en,107,Action | Comedy | Crime,30000000,29116320,2.9741,6.784,2321,Saturn Films | Burr! Productions
668461,tt13320662,Slumberland,Slumberland,2022-11-18,2022,en,117,Family | Fantasy | Comedy,35000000,0,3.6643,7.283,899,Chernin Entertainment | about:blank
756681,tt12412166,Veneciafrenia,Veneciafrenia,2022-04-22,2022,es,100,Horror,0,543561,3.6916,6.002,236,Pokeepsie Films | Mogambo Films | Amazon Studios | Sony Pictures International Productions | Elio Film
852438,tt14317880,Final Cut,Coupez !,2022-05-18,2022,fr,110,Horror | Comedy,4300000,2046233,3.2956,6.726,454,Getaway Films | La Classe américaine | SK Global Entertainment | France 2 Cinéma | GAGA Corporation | BlueLight | SofiTVCiné 9
916053,tt16233952,Something from Tiffany's,Something from Tiffany's,2022-12-08,2022,en,87,Romance | Comedy | Drama,0,0,3.758,6.669,307,Hello Sunshine | Amazon Studios | CatchLight Studios
772272,tt16085592,Tall Girl 2,Tall Girl 2,2022-02-11,2022,en,97,Comedy | Romance | Drama,24393503,0,2.9953,5.735,390,Wonderland Sound and Vision
680860,tt6462958,I Want You Back,I Want You Back,2022-02-10,2022,en,116,Comedy | Romance,0,0,3.4552,6.3,358,The Safran Company | Amazon Studios | The Walk-Up Company | Big Indie Pictures
630720,tt10935560,Dark Glasses,Occhiali neri,2022-02-24,2022,it,86,Drama | Thriller | Horror | Mystery,0,0,3.7855,4.757,202,Urania Pictures | Getaway Films
814757,tt14402146,Empire of Light,Empire of Light,2022-12-09,2022,en,115,Drama | Romance,13500000,11395604,3.5007,6.628,599,Searchlight Pictures | Neal Street Productions | TSG Entertainment
629176,tt5500218,Samaritan,Samaritan,2022-08-25,2022,en,102,Science Fiction | Crime | Action,100000000,0,3.1655,6.676,2128,Metro-Goldwyn-Mayer | Balboa Productions
888321,tt11992694,Corsage,Corsage,2022-07-07,2022,de,114,Drama | History,7580600,3092534,3.1559,6.093,237,Film AG | Kazak Productions | Komplizen Film | Samsa Film | ZDF/Arte
