"title","year","decade","genre_main","imdb_weighted_rating","budget","revenue","profit","profitability","log_budget","log_revenue","tag"
"A Soldier's Story",1984,"1980s","Mystery",7.12156579517771,6e+06,21821347,15821347,2.63689116666667,6.77815125038364,7.33888155544624,"Intermedia"
"Splash",1984,"1980s","Comedy",6.2983740736167,8e+06,69800000,61800000,7.725,6.90308998699194,7.84385542262316,"Intermedia"
"Star Trek III: The Search for Spock",1984,"1980s","Science Fiction",6.69400254168838,1.8e+07,8.7e+07,6.9e+07,3.83333333333333,7.25527250510331,7.93951925261862,"Intermedia"
"Starman",1984,"1980s","Science Fiction",6.98530096801427,2.2e+07,28744356,6744356,0.306561636363636,7.34242268082221,7.45855258298445,"Intermedia"
"Stop Making Sense",1984,"1980s","Documentary",8.59640672634636,1200000,12471520,11271520,9.39293333333333,6.07918124604763,7.0959193875109,"Alta calidad + muy rentable"
"Streets of Fire",1984,"1980s","Action",6.68045132531663,14500000,8089290,-6410710,-0.442117931034483,7.16136800223498,6.90791040509636,"Intermedia"
"Supergirl",1984,"1980s","Adventure",4.4651016142852,3.5e+07,14296438,-20703562,-0.591530342857143,7.54406804435028,7.15522784518233,"Baja calidad + poco rentable"
"The Terminator",1984,"1980s","Action",8.09803480442783,6400000,78371200,71971200,11.2455,6.80617997398389,7.89415649662614,"Alta calidad + muy rentable"
"This Is Spinal Tap",1984,"1980s","Comedy",7.88902277551183,2500000,5831458,3331458,1.3325832,6.39794000867204,6.76577715204726,"Intermedia"
"Top Secret!",1984,"1980s","Comedy",7.18718265147688,9e+06,20500000,11500000,1.27777777777778,6.95424250943933,7.31175386105575,"Intermedia"
"The NeverEnding Story",1984,"1980s","Adventure",7.29321659797903,2.7e+07,20158808,-6841192,-0.253377481481482,7.43136376415899,7.30446484849137,"Intermedia"
"The Woman in Red",1984,"1980s","Comedy",6.00771658350581,9e+06,25300000,16300000,1.81111111111111,6.95424250943933,7.40312052117582,"Intermedia"
"After Hours",1985,"1980s","Comedy",7.58470039529756,4500000,10609321,6109321,1.35762688888889,6.65321251377534,7.02568758980243,"Intermedia"
"Back to the Future",1985,"1980s","Adventure",8.49835628886475,1.9e+07,381109762,362109762,19.0584085263158,7.27875360095283,8.58105007322358,"Alta calidad + muy rentable"
